t,x,y,yaw,odom_x,odom_y,odom_yaw,error_x,error_y,error_dist,tags_used,quality
8224.133762,0.028983,-0.471890,-0.000008,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0|1|2|3|4|5,0.4670
8224.150429,0.028888,-0.472056,-0.000368,0.000005,-0.000000,0.000000,0.000085,-0.000051,0.000099,0|1|2|3|4|5,0.4668
8224.167096,0.028817,-0.472227,-0.000314,0.000011,-0.000000,-0.000000,0.000172,-0.000090,0.000194,0|1|2|3|4|5,0.4678
8224.183762,0.028043,-0.471741,0.000824,0.000016,-0.000000,0.000000,-0.000097,-0.000511,0.000520,0|1|2|3|5,0.4695
8224.200429,0.028780,-0.472299,-0.000357,0.000021,0.000000,0.000000,0.000201,-0.000111,0.000229,0|1|2|3|4|5,0.4649
8224.217096,0.028984,-0.473208,-0.002862,0.000026,0.000000,0.000001,0.000690,0.000000,0.000690,0|2|3|4|5,0.4637
8224.233762,0.029152,-0.472600,-0.002642,0.000031,0.000000,0.000001,0.000355,0.000092,0.000366,0|2|3|4|5,0.4621
8224.250429,0.029229,-0.472439,-0.002462,0.000037,0.000000,0.000001,0.000261,0.000133,0.000293,0|2|3|4|5,0.4612
8224.267096,0.029229,-0.472439,-0.002462,0.000043,0.000000,0.000001,0.000255,0.000134,0.000288,0|2|3|4|5,0.4616
8224.283762,0.029048,-0.472581,-0.001936,0.000043,0.000000,0.000001,0.000333,0.000035,0.000334,0|1|2|3|4|5,0.4673
8224.300429,0.029048,-0.472581,-0.001935,0.000048,0.000000,0.000001,0.000327,0.000035,0.000329,0|1|2|3|4|5,0.4670
8224.317096,0.029064,-0.472597,-0.001976,0.000048,0.000000,0.000001,0.000336,0.000044,0.000339,0|1|2|3|4|5,0.4692
8224.333762,0.028832,-0.471974,-0.000022,0.000048,0.000000,0.000001,-0.000003,-0.000082,0.000082,0|1|2|3|4|5,0.4686
8224.350429,0.028349,-0.471895,0.001045,0.000069,0.000000,0.000002,-0.000067,-0.000345,0.000351,0|1|2|3|4|5,0.4693
8224.367096,0.028415,-0.471852,0.000938,0.000074,0.000001,0.000002,-0.000095,-0.000309,0.000324,0|1|2|3|4|5,0.4695
8224.383762,0.028659,-0.471533,0.001111,0.000079,0.000001,0.000002,-0.000273,-0.000177,0.000325,0|1|2|3|4|5,0.4678
8224.400429,0.028123,-0.471420,0.001267,0.000084,0.000001,0.000002,-0.000339,-0.000468,0.000578,0|1|2|3|5,0.4672
8224.417096,0.028636,-0.471652,0.001092,0.000090,0.000001,0.000002,-0.000220,-0.000189,0.000290,0|1|2|3|4|5,0.4678
